VehicleCount,DetectorLength,PhaseDuration,CongestionLevel
0,45.019999999999996,14.893439,0.75
2,45.0,24.954123,0.75
5,45.019999999999996,24.954123,0.75
6,45.0,24.954123,0.75
3,45.019999999999996,24.954123,0.75
6,45.0,24.954123,0.75
2,45.019999999999996,24.954123,0.75
6,45.0,24.954123,0.75
3,45.019999999999996,24.954123,0.75
5,45.0,24.954123,0.75
5,45.019999999999996,24.954123,0.75
6,45.0,24.954123,0.75
3,45.019999999999996,24.954123,0.75
6,45.0,24.954123,0.75
2,45.019999999999996,24.954123,0.75
6,45.0,24.954123,0.75
3,45.019999999999996,24.954123,0.75
5,45.0,24.954123,0.75
5,45.019999999999996,24.954123,0.75
6,45.0,24.954123,0.75
4,45.019999999999996,24.954123,0.75
5,45.0,24.954123,0.75
2,45.019999999999996,24.954123,0.75
6,45.0,24.954123,0.75
3,45.019999999999996,24.954123,0.75
6,45.0,24.954123,0.75
5,45.019999999999996,24.954123,0.75
6,45.0,24.954123,0.75
4,45.019999999999996,24.954123,0.75
5,45.0,24.954123,0.75
1,45.019999999999996,16.012543,0.75
6,45.0,24.954123,0.75
3,45.019999999999996,24.954123,0.75
6,45.0,24.954123,0.75
5,45.019999999999996,24.954123,0.75
6,45.0,24.954123,0.75
1,45.019999999999996,16.012543,0.75
0,45.0,14.893439,0.75
