VehicleCount,DetectorLength,PhaseDuration,CongestionLevel
0,45.019999999999996,14.893439,0.5
2,45.0,24.954123,0.5
5,45.019999999999996,24.954123,0.5
2,45.0,24.954123,0.5
2,45.019999999999996,24.954123,0.5
2,45.0,24.954123,0.5
5,45.019999999999996,24.954123,0.5
2,45.0,24.954123,0.5
2,45.019999999999996,24.954123,0.5
2,45.0,24.954123,0.5
5,45.019999999999996,24.954123,0.5
2,45.0,24.954123,0.5
1,45.019999999999996,16.012543,0.5
2,45.0,24.954123,0.5
5,45.019999999999996,24.954123,0.5
2,45.0,24.954123,0.5
2,45.019999999999996,24.954123,0.5
2,45.0,24.954123,0.5
5,45.019999999999996,24.954123,0.5
3,45.0,24.954123,0.5
2,45.019999999999996,24.954123,0.5
2,45.0,24.954123,0.5
5,45.019999999999996,24.954123,0.5
2,45.0,24.954123,0.5
2,45.019999999999996,24.954123,0.5
3,45.0,24.954123,0.5
5,45.019999999999996,24.954123,0.5
2,45.0,24.954123,0.5
2,45.019999999999996,24.954123,0.5
2,45.0,24.954123,0.5
5,45.019999999999996,24.954123,0.5
2,45.0,24.954123,0.5
2,45.019999999999996,24.954123,0.5
2,45.0,24.954123,0.5
5,45.019999999999996,24.954123,0.5
0,45.0,14.893439,0.5
