intersection_id,detector0speed,detector0wait,detector0vehicles,detector0length,detector1speed,detector1wait,detector1vehicles,detector1length,detector2speed,detector2wait,detector2vehicles,detector2length,detector3speed,detector3wait,detector3vehicles,detector3length
0,0.0,0.0,0,15.02,5.894984130306944,0.0,1,14.999999999999996,12.839332954740833,0.0,1,30.0,0.0,0.0,0,30.0
0,0.0,0.0,0,15.02,7.032117630880634,0.0,1,14.999999999999996,10.589332954740833,0.0,1,30.0,0.0,0.0,0,30.0
0,0.0,0.0,0,15.02,4.966284663360161,0.0,1,14.999999999999996,8.339332954740833,0.0,1,30.0,0.0,0.0,0,30.0
0,0.0,0.0,0,15.02,5.1944657030418195,0.0,1,14.999999999999996,6.237334998421583,0.0,1,30.0,0.0,0.0,0,30.0
0,0.0,0.0,0,15.02,0.0,0.0,0,14.999999999999996,3.9873349984215833,0.0,1,30.0,0.0,0.0,0,30.0
0,0.0,0.0,0,15.02,0.0,0.0,0,14.999999999999996,1.7373349984215833,0.0,1,30.0,0.0,0.0,0,30.0
0,0.0,0.0,0,15.02,0.0,0.0,0,14.999999999999996,0.06321248300222165,0.5,1,30.0,0.0,0.0,0,30.0
0,0.0,0.0,0,15.02,0.0,0.0,0,14.999999999999996,5.661334614683592,0.5,2,30.0,0.0,0.0,0,30.0
0,0.0,0.0,0,15.02,0.0,0.0,0,14.999999999999996,4.8694308921364176,0.75,2,30.0,0.0,0.0,0,30.0
0,0.0,0.0,0,15.02,0.0,0.0,0,14.999999999999996,3.761099948610221,1.0,2,30.0,0.0,0.0,0,30.0
0,0.0,0.0,0,15.02,0.0,0.0,0,14.999999999999996,2.9509650196267594,1.25,2,30.0,0.0,0.0,0,30.0
0,0.0,0.0,0,15.02,0.0,0.0,0,14.999999999999996,3.998188165830735,1.0,3,30.0,11.926762883147322,0.0,1,30.0
0,0.0,0.0,0,15.02,0.0,0.0,0,14.999999999999996,3.25644204880185,1.1666666666666667,3,30.0,11.895546608992019,0.0,1,30.0
0,0.0,0.0,0,15.02,0.0,0.0,0,14.999999999999996,2.243177343689817,1.3333333333333333,3,30.0,11.99611426014789,0.0,1,30.0
0,0.0,0.0,0,15.02,0.0,0.0,0,14.999999999999996,1.850867929302548,1.5,3,30.0,10.531253112736838,0.0,1,30.0
0,0.0,0.0,0,15.02,0.0,0.0,0,14.999999999999996,1.4580105956706142,1.6666666666666667,3,30.0,8.418594219419854,0.0,1,30.0
0,0.0,0.0,0,15.02,0.0,0.0,0,14.999999999999996,0.8429435175129152,1.8333333333333333,3,30.0,6.332844982250341,0.0,1,30.0
0,0.0,0.0,0,15.02,0.0,0.0,0,14.999999999999996,0.6931804356844319,2.0,3,30.0,6.309926667344504,0.0,1,30.0
0,0.0,0.0,0,15.02,0.0,0.0,0,14.999999999999996,0.3721477680515954,2.1666666666666665,3,30.0,11.259197425053955,0.0,1,30.0
0,0.0,0.0,0,15.02,0.0,0.0,0,14.999999999999996,0.3055255141835616,2.5,3,30.0,10.926035712441465,0.0,1,30.0
0,0.0,0.0,0,15.02,0.0,0.0,0,14.999999999999996,0.16994339110699833,2.8333333333333335,3,30.0,11.243412620111869,0.0,1,30.0
0,0.0,0.0,0,15.02,0.0,0.0,0,14.999999999999996,0.10693440621965618,3.1666666666666665,3,30.0,11.496907609180582,0.0,1,30.0
0,0.0,0.0,0,15.02,0.0,0.0,0,14.999999999999996,0.059450173889619116,3.5,3,30.0,10.704664625009032,0.0,1,30.0
0,0.0,0.0,0,15.02,0.0,0.0,0,14.999999999999996,0.030108043163105613,4.0,3,30.0,8.454664625009032,0.0,1,30.0
0,0.0,0.0,0,15.02,0.0,0.0,0,14.999999999999996,0.015293921585886128,4.5,3,30.0,6.204664625009032,0.0,1,30.0
0,0.0,0.0,0,15.02,0.0,0.0,0,14.999999999999996,0.009563253379548496,5.0,3,30.0,0.0,0.0,0,30.0
0,0.0,0.0,0,15.02,0.0,0.0,0,14.999999999999996,0.00730754601955428,5.5,3,30.0,0.0,0.0,0,30.0
0,0.0,0.0,0,15.02,0.0,0.0,0,14.999999999999996,0.003921431443394327,6.0,3,30.0,0.0,0.0,0,30.0
0,0.0,0.0,0,15.02,0.0,0.0,0,14.999999999999996,0.0018131681824271773,6.5,3,30.0,0.0,0.0,0,30.0
0,0.0,0.0,0,15.02,0.0,0.0,0,14.999999999999996,0.0011023056687914504,7.0,3,30.0,0.0,0.0,0,30.0
0,0.0,0.0,0,15.02,0.0,0.0,0,14.999999999999996,0.0006551907886101033,7.5,3,30.0,0.0,0.0,0,30.0
0,0.0,0.0,0,15.02,0.0,0.0,0,14.999999999999996,0.00039304993658522753,8.0,3,30.0,0.0,0.0,0,30.0
0,11.688603137979937,0.0,1,15.02,0.0,0.0,0,14.999999999999996,0.00021610479871991158,8.5,3,30.0,0.0,0.0,0,30.0
0,9.438603137979937,0.0,1,15.02,0.0,0.0,0,14.999999999999996,0.00013869993250725806,9.0,3,30.0,9.001769694724736,0.0,1,30.0
0,7.2941704645920105,0.0,1,15.02,0.0,0.0,0,14.999999999999996,7.090995668644505e-05,9.5,3,30.0,8.929934069937245,0.0,1,30.0
0,5.0441704645920105,0.0,1,15.02,0.0,0.0,0,14.999999999999996,5.201018291119458e-05,10.0,3,30.0,8.793911685728617,0.0,1,30.0
0,2.7941704645920105,0.0,1,15.02,0.0,0.0,0,14.999999999999996,2.0860617001098014e-05,10.5,3,30.0,8.892591528039574,0.0,1,30.0
0,0.6294669463533923,0.0,1,15.02,0.0,0.0,0,14.999999999999996,3.3333333333333337e-10,11.0,3,30.0,8.743143565001633,0.0,2,30.0
0,0.12432764014175782,0.0,1,15.02,0.0,0.0,0,14.999999999999996,3.3333333333333337e-10,11.5,3,30.0,7.957514210939642,0.0,2,30.0
0,0.03598834634317221,0.5,1,15.02,0.0,0.0,0,14.999999999999996,3.3333333333333337e-10,12.0,3,30.0,6.080338369773106,0.0,2,30.0
0,0.0023182386823360377,1.0,1,15.02,0.0,0.0,0,14.999999999999996,3.3333333333333337e-10,12.5,3,30.0,4.242260785788402,0.0,2,30.0
0,0.0003631106229694096,1.5,1,15.02,10.414630452430552,0.0,1,14.999999999999996,3.3333333333333337e-10,13.0,3,30.0,2.5421201689427995,0.0,2,30.0
