VehicleCount,DetectorLength,PhaseDuration
1,45.019999999999996,15
5,45.0,15
3,45.019999999999996,15
4,45.0,15
1,45.019999999999996,15
5,45.0,15
2,45.019999999999996,15
5,45.0,15
2,45.019999999999996,15
4,45.0,15
3,45.019999999999996,15
5,45.0,15
1,45.019999999999996,15
5,45.0,15
3,45.019999999999996,15
5,45.0,15
1,45.019999999999996,15
5,45.0,15
2,45.019999999999996,15
5,45.0,15
1,45.019999999999996,15
5,45.0,15
2,45.019999999999996,15
5,45.0,15
1,45.019999999999996,15
5,45.0,15
3,45.019999999999996,15
5,45.0,15
2,45.019999999999996,15
5,45.0,15
3,45.019999999999996,15
5,45.0,15
2,45.019999999999996,15
5,45.0,15
2,45.019999999999996,15
5,45.0,15
1,45.019999999999996,15
5,45.0,15
3,45.019999999999996,15
5,45.0,15
1,45.019999999999996,15
5,45.0,15
3,45.019999999999996,15
5,45.0,15
1,45.019999999999996,15
5,45.0,15
2,45.019999999999996,15
5,45.0,15
2,45.019999999999996,15
5,45.0,15
3,45.019999999999996,15
5,45.0,15
1,45.019999999999996,15
0,45.0,15
0,45.019999999999996,15
4,45.0,15
4,45.019999999999996,15
3,45.0,15
1,45.019999999999996,15
2,45.0,15
4,45.019999999999996,15
4,45.0,15
1,45.019999999999996,15
2,45.0,15
3,45.019999999999996,15
4,45.0,15
1,45.019999999999996,15
6,45.0,15
4,45.019999999999996,15
5,45.0,15
1,45.019999999999996,15
3,45.0,15
4,45.019999999999996,15
4,45.0,15
1,45.019999999999996,15
4,45.0,15
4,45.019999999999996,15
5,45.0,15
1,45.019999999999996,15
4,45.0,15
4,45.019999999999996,15
3,45.0,15
1,45.019999999999996,15
3,45.0,15
3,45.019999999999996,15
3,45.0,15
1,45.019999999999996,15
4,45.0,15
3,45.019999999999996,15
3,45.0,15
1,45.019999999999996,15
2,45.0,15
4,45.019999999999996,15
3,45.0,15
1,45.019999999999996,15
3,45.0,15
3,45.019999999999996,15
3,45.0,15
1,45.019999999999996,15
3,45.0,15
4,45.019999999999996,15
3,45.0,15
2,45.019999999999996,15
3,45.0,15
4,45.019999999999996,15
3,45.0,15
1,45.019999999999996,15
0,45.0,15
0,45.019999999999996,15
3,45.0,15
4,45.019999999999996,15
3,45.0,15
1,45.019999999999996,15
2,45.0,15
4,45.019999999999996,15
4,45.0,15
1,45.019999999999996,15
2,45.0,15
4,45.019999999999996,15
3,45.0,15
1,45.019999999999996,15
3,45.0,15
4,45.019999999999996,15
3,45.0,15
1,45.019999999999996,15
2,45.0,15
4,45.019999999999996,15
3,45.0,15
1,45.019999999999996,15
4,45.0,15
4,45.019999999999996,15
4,45.0,15
1,45.019999999999996,15
3,45.0,15
4,45.019999999999996,15
2,45.0,15
1,45.019999999999996,15
3,45.0,15
3,45.019999999999996,15
2,45.0,15
1,45.019999999999996,15
4,45.0,15
4,45.019999999999996,15
2,45.0,15
1,45.019999999999996,15
2,45.0,15
4,45.019999999999996,15
3,45.0,15
1,45.019999999999996,15
3,45.0,15
4,45.019999999999996,15
3,45.0,15
1,45.019999999999996,15
3,45.0,15
4,45.019999999999996,15
4,45.0,15
2,45.019999999999996,15
3,45.0,15
4,45.019999999999996,15
3,45.0,15
1,45.019999999999996,15
0,45.0,15
0,45.019999999999996,15
3,45.0,15
4,45.019999999999996,15
3,45.0,15
1,45.019999999999996,15
2,45.0,15
4,45.019999999999996,15
3,45.0,15
1,45.019999999999996,15
2,45.0,15
4,45.019999999999996,15
4,45.0,15
1,45.019999999999996,15
3,45.0,15
5,45.019999999999996,15
2,45.0,15
1,45.019999999999996,15
2,45.0,15
4,45.019999999999996,15
3,45.0,15
1,45.019999999999996,15
2,45.0,15
4,45.019999999999996,15
4,45.0,15
1,45.019999999999996,15
2,45.0,15
4,45.019999999999996,15
3,45.0,15
1,45.019999999999996,15
4,45.0,15
4,45.019999999999996,15
4,45.0,15
1,45.019999999999996,15
4,45.0,15
4,45.019999999999996,15
4,45.0,15
1,45.019999999999996,15
4,45.0,15
4,45.019999999999996,15
4,45.0,15
1,45.019999999999996,15
3,45.0,15
4,45.019999999999996,15
2,45.0,15
1,45.019999999999996,15
3,45.0,15
4,45.019999999999996,15
3,45.0,15
2,45.019999999999996,15
2,45.0,15
4,45.019999999999996,15
3,45.0,15
1,45.019999999999996,15
0,45.0,15
0,45.019999999999996,15
3,45.0,15
4,45.019999999999996,15
2,45.0,15
1,45.019999999999996,15
2,45.0,15
4,45.019999999999996,15
3,45.0,15
1,45.019999999999996,15
2,45.0,15
4,45.019999999999996,15
4,45.0,15
1,45.019999999999996,15
6,45.0,15
5,45.019999999999996,15
4,45.0,15
1,45.019999999999996,15
3,45.0,15
4,45.019999999999996,15
5,45.0,15
1,45.019999999999996,15
4,45.0,15
5,45.019999999999996,15
4,45.0,15
1,45.019999999999996,15
3,45.0,15
4,45.019999999999996,15
2,45.0,15
1,45.019999999999996,15
3,45.0,15
4,45.019999999999996,15
3,45.0,15
1,45.019999999999996,15
3,45.0,15
4,45.019999999999996,15
2,45.0,15
1,45.019999999999996,15
2,45.0,15
4,45.019999999999996,15
2,45.0,15
1,45.019999999999996,15
4,45.0,15
4,45.019999999999996,15
4,45.0,15
1,45.019999999999996,15
5,45.0,15
4,45.019999999999996,15
3,45.0,15
2,45.019999999999996,15
2,45.0,15
4,45.019999999999996,15
3,45.0,15
1,45.019999999999996,15
1,45.0,15
0,45.019999999999996,15
