VehicleCount,DetectorLength,PhaseDuration
2,45.0,20
4,45.019999999999996,30
6,45.0,40
6,45.019999999999996,40
6,45.0,40
6,45.019999999999996,40
6,45.0,40
6,45.019999999999996,40
6,45.0,40
6,45.019999999999996,40
6,45.0,40
6,45.019999999999996,40
6,45.0,40
6,45.019999999999996,40
6,45.0,40
6,45.019999999999996,40
6,45.0,40
6,45.019999999999996,40
6,45.0,40
6,45.019999999999996,40
6,45.0,40
5,45.019999999999996,40
6,45.0,40
6,45.019999999999996,40
6,45.0,40
1,45.0,10
3,45.019999999999996,30
6,45.0,40
5,45.019999999999996,30
6,45.0,40
6,45.019999999999996,40
6,45.0,40
6,45.019999999999996,40
6,45.0,40
6,45.019999999999996,40
6,45.0,40
6,45.019999999999996,40
6,45.0,40
6,45.019999999999996,40
6,45.0,40
6,45.019999999999996,40
6,45.0,40
6,45.019999999999996,40
6,45.0,40
6,45.019999999999996,40
6,45.0,40
6,45.019999999999996,40
6,45.0,40
6,45.019999999999996,40
6,45.0,40
3,45.0,30
2,45.0,20
4,45.019999999999996,30
6,45.0,40
6,45.019999999999996,40
6,45.0,40
6,45.019999999999996,40
6,45.0,40
6,45.019999999999996,40
6,45.0,40
6,45.019999999999996,40
6,45.0,40
6,45.019999999999996,40
6,45.0,40
6,45.019999999999996,40
6,45.0,40
6,45.019999999999996,40
6,45.0,40
6,45.019999999999996,40
6,45.0,40
6,45.019999999999996,40
6,45.0,40
5,45.019999999999996,40
6,45.0,40
6,45.019999999999996,40
6,45.0,40
1,45.0,10
3,45.019999999999996,30
6,45.0,40
5,45.019999999999996,30
6,45.0,40
6,45.019999999999996,40
6,45.0,40
6,45.019999999999996,40
6,45.0,40
6,45.019999999999996,40
6,45.0,40
6,45.019999999999996,40
6,45.0,40
6,45.019999999999996,40
6,45.0,40
6,45.019999999999996,40
6,45.0,40
6,45.019999999999996,40
6,45.0,40
6,45.019999999999996,40
6,45.0,40
6,45.019999999999996,40
6,45.0,40
6,45.019999999999996,40
6,45.0,40
3,45.0,30
